popularity,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
2.7980169999999998,121.0,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255
2.793297,124.0,2015-12-24,1001,6.4,2015,55199975.71201059,93043293.3409509
2.6144990000000004,114.0,2015-12-03,505,5.5,2015,96599957.49601871,123021159.990689
2.584264,100.0,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969
2.578919,116.0,2015-07-10,719,6.2,2015,23919989.475204602,28081355.564203497
2.575711,106.0,2015-01-21,696,5.3,2015,55199975.71201059,27985062.8865723
2.557859,120.0,2015-11-27,867,7.3,2015,13799993.9280026,59056175.175282896
2.5507470000000003,133.0,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613
2.487849,121.0,2015-09-17,1479,7.1,2015,27599987.856005296,77303716.7063646
2.4870419999999998,100.0,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699
2.46449,92.0,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942
2.404473,120.0,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356
2.395366,105.0,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582
2.354654,96.0,2015-08-20,820,5.5,2015,32199985.8320062,75759810.18568349
2.345821,122.0,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738
2.3315669999999997,133.0,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707
2.31767,125.0,2015-07-17,849,6.1,2015,32199985.8320062,129532072.56588799
2.29573,102.0,2015-09-11,265,7.2,2015,11959994.737602301,30220316.9030605
2.28135,131.0,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396
2.234573,111.0,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843
2.140199,88.0,2015-11-05,414,6.4,2015,91079959.92481759,226534364.284879
2.121884,123.0,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867
2.096273,100.0,2015-11-20,363,6.1,2015,22999989.8800044,48204295.110110104
2.0809349999999998,99.0,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632
2.070708,128.0,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235
2.060162,89.0,2015-09-21,919,6.8,2015,73599967.61601421,428888671.76898396
2.055572,107.0,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042
2.049886,123.0,2015-09-30,706,6.8,2015,32199985.8320062,56287361.873560704
2.0266509999999998,94.0,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042
2.000338,99.0,2015-07-28,846,6.1,2015,28519987.4512055,96033410.70529921
1.984529,93.0,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717
1.9800389999999999,95.0,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095
1.95632,137.0,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543117995
1.926739,108.0,2015-07-30,631,6.6,2015,4599997.97600089,54260336.885451704
1.904898,96.0,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156
1.865007,92.0,2015-07-29,423,7.5,2015,58879974.0928114,89765510.50317529
